#{"t_start": 1685915906.4158773, "env_id": "ALE/DemonAttack-v5"}
r,l,t
0.0,3143,4.861079
0.0,3143,8.857554
0.0,4540,14.389916
0.0,3143,18.417434
0.0,3143,22.44166
0.0,3143,26.281626
0.0,3143,30.216092
0.0,3143,34.169704
0.0,3143,38.030562
0.0,3143,41.776554
