#{"t_start": 1685912709.3315222, "env_id": "highway-v0"}
r,l,t
29.360815,40,16.393173
27.583037,40,33.117971
27.583037,40,49.480398
26.694148,40,65.368044
29.360815,40,81.530145
29.360815,40,97.049692
29.360815,40,112.082398
28.471926,40,127.159681
28.471926,40,142.501843
26.694148,40,158.068959
