#{"t_start": 1685916082.8982127, "env_id": "merge-v0"}
r,l,t
5.277778,6,0.150211
5.277778,6,0.307155
5.277778,6,0.467535
5.277778,6,0.621419
5.277778,6,0.780468
5.277778,6,0.94228
5.277778,6,1.108685
5.277778,6,1.264964
5.277778,6,1.426835
5.277778,6,1.587295
