#{"t_start": 1685748359.4931297, "env_id": "highway-fast-v0"}
r,l,t
22.953554,30,5.463925
20.985988,30,9.992544
22.519867,30,14.532468
22.019327,30,19.058667
20.052357,30,23.559613
20.552661,30,28.107128
21.385677,30,32.610804
21.818983,30,37.166879
21.419236,30,41.693727
21.253246,30,46.243609
22.286888,30,50.771147
21.886888,30,55.276009
22.084187,30,59.879215
