#{"t_start": 1685912527.5891836, "env_id": "highway-v0"}
r,l,t
5.703201,7,3.577935
4.661412,6,5.918047
6.637945,8,9.084073
3.993524,5,11.020741
4.661412,6,13.343994
1.798501,3,14.506839
3.728098,5,16.497971
3.728098,5,18.447301
5.634718,7,21.140074
7.960097,9,24.548509
