#{"t_start": 1685916077.3321986, "env_id": "merge-v0"}
r,l,t
15.166667,17,1.451179
15.166667,17,1.90401
15.166667,17,2.355812
15.166667,17,2.806699
15.166667,17,3.252799
15.166667,17,3.69068
15.166667,17,4.14358
15.166667,17,4.580622
15.166667,17,5.012134
15.166667,17,5.460777
