#{"t_start": 1685912552.1760807, "env_id": "highway-v0"}
r,l,t
27.583037,40,17.159622
27.583037,40,35.246212
27.583037,40,51.896953
26.694148,40,66.685404
26.694148,40,81.63675
28.471926,40,96.064239
29.360815,40,110.472648
28.471926,40,125.800441
27.583037,40,140.587368
26.694148,40,157.099664
