#{"t_start": 1685915948.6254268, "env_id": "ALE/DemonAttack-v5"}
r,l,t
60.0,27000,43.247889
70.0,27000,89.935568
40.0,146,90.165776
70.0,27000,132.98138
70.0,27000,179.449881
70.0,27000,230.410678
