#{"t_start": 1685911958.114105, "env_id": "Acrobot-v1"}
r,l,t
-73.0,74,0.085164
-77.0,78,0.141247
-73.0,74,0.195378
-83.0,84,0.264464
-75.0,76,0.322288
-88.0,89,0.38919
-264.0,265,0.604372
-78.0,79,0.669623
-77.0,78,0.736181
-72.0,73,0.79631
